leaning, phrase
Liberal,"@ryangrim @RepMaxineWaters This is exactly what was told to my team when we reached out days prior to the attack. Practically verbatim."
Liberal,"At this late a stage, resignations help little beyond serving as late attempts at self-preservation.\n\nIf Sec. Chao objects to yesterday’s events this deeply, she should be working the Cabinet to invoke the 25th amendment - not abdicating the seat that allows her to do so. https://t.co/pUEaL04Wwf"
Liberal,"Sen. Cruz, you must accept responsibility for how your craven, self-serving actions contributed to the deaths of four people yesterday. And how you fundraised off this riot.\n\nBoth you and Senator Hawley must resign. If you do not, the Senate should move for your expulsion. https://t.co/O2m6T59LYP"
Liberal,"You can see further here.  Either way, we do not have the luxury of time. https://t.co/E1yHqMHf7W"
Liberal,"Articles of impeachment have already been drafted and are ready for introduction. They were prepared and finalized by @IlhanMN while she was extracted in a secure location, and members are signing on. https://t.co/FJCpmp64OV"
Liberal,"If the 25th amendment is not invoked today, Congress must reconvene immediately for impeachment and removal proceedings."
Liberal,"Additionally, Congress must pass @RepCori’s resolution to investigate for sanction and expulsion any member of Congress who helped incite this attack on our nation. https://t.co/0mCNm590Uo"
Liberal,"Our republic is in great danger, and it is imperiled further without swift action to protect it.\n\nThe President incited an attack on Congress. He is deeply unstable. The Cabinet must invoke the 25th amendment.\n\nCongress must also pursue impeachment and removal of the President."
Liberal,"RT @mkraju: First Hill Republican to call for the 25th Amendment"
Liberal,"@UptownBronxDSA @RepAOC @JamaalBowmanNY @RepEspaillat @RitchieTorres Already on it."
Liberal,"RT @tedlieu: Let me be very clear: if all we do is accept the certified Electoral College results and go home, we would have failed our cou…"
Liberal,"RT @RepCori: I believe the Republican members of Congress who have incited this domestic terror attack through their attempts to overturn t…"
Liberal,"RT @JoaquinCastrotx: Senators @TedCruz and @HawleyMO should immediately resign."
Liberal,"Impeach."
Liberal,"Sorry for the earlier comma typo. It’s been a day."
Liberal,"Was barricaded in for several hours. I’ll tell y’all about it later.\n\nFor now, we must focus on task at hand: to preserve the integrity of our democracy, hold accountable those responsible for their attempts to subvert our nation’s elections and shred our Constitution apart."
Liberal,"I’m okay."
Liberal,"RT @AyannaPressley: The movement met the moment.\n\nThe movement to end cash bail. \nThe movement to abolish ICE. \nThe movement for housing ju…"
Liberal,"¡Feliz Día de Reyes! 👑 👑 👑 \nTrajeron al país dos asientos y el senado 😉"
Liberal,"And @GovRicketts if the reporting about denying vaccine access to undocumented workers is “fake news,” I am happy to be corrected by you publicly stating that all undocumented Nebraskans, including meatpacking workers, will have access to the vaccine. Thank you! ☺️"
Liberal,"Given that I want EVERY Nebraskan to have vaccine access, including *every* meatpacker and not just *some*, I think I care about more Nebraskans than even Ricketts does. https://t.co/laHIhGnrfy"
Liberal,"Hello! ☀️\nIt’s a new day!\n\nWho’s ready to PUSH? 🙋🏽‍♀️🙋🏾🙋🏼‍♂️\n\nReady to PUSH for retroactive COVID relief? 💸\nAnd to PUSH for student loan cancellation?🎓\nFor climate justice? 🌎\nHealthcare? ⛑\nVoting rights? 🗳\nEnding the death penalty?👩🏽‍⚖️\n\nWhat policies do you most want to PUSH for? ⤵️"
Liberal,"Good morning 🌞"
Liberal,"RT @RepJayapal: VICTORY in Georgia must lead to transformative change across America!\n\nRecurring survival checks, union jobs that pay a liv…"
Liberal,"RT @staceyabrams: With new votes joining the tally, we are on a strong path. But even while we wait for more, let’s celebrate the extraordi…"
Liberal,"Two additional ways to thank them:\n1. Send a small donation their way 💸 \n\n2. Go down the list &amp; follow their accounts. Listen + learn from them and amplify them in the off-season, when your backing means a lot and goes a long way.\n\n https://t.co/IU8jmGFI1D"
Liberal,"Thank an organizer. https://t.co/BgOvAGegcW"
Liberal,"If you can, please thank the tireless work of GA organizers tonight by sending a donation their way &amp;/or following them.\n\nTheir nonstop work isn’t just for campaign season. It’s 24/7 for communities.\n\nWe’ve set up a split donation here (100% goes to them): https://t.co/BgOvAGegcW https://t.co/9j8CNQytuK"
Liberal,"Thank you 🙏🏽 @BMVProject \nThank you 🙏🏽 @GAMVP"
Liberal,"Thank you 🙏🏽 @BlackVotersMtr"
Liberal,"Thank you 🙏🏽@NewGAProject \nThank you 🙏🏽 @fairfightaction\nThank you 🙏🏽@ConMijente\nThank you 🙏🏽@GALEOorg\nThank you 🙏🏽@AsianAAF\nThank you 🙏🏽@songpowerc4\n\nThank you to ALL the people and grassroots organizations doing the thankless, often-overlooked, mission-critical work of change."
Liberal,"Thank an organizer."
Liberal,"@itsbecrose Me too"
Liberal,"@JRossQNZ Haha I can make a few calls! Are there any intersections or areas that you think are particularly sparse?"
Liberal,"Thanks, Ro! :) https://t.co/BOSsS13DTR"
Liberal,"@tylerahazard @AkilahObviously Last year our investigations brought certain Rx drugs generic early bc we exposed that the patent actually belonged to the public\n\nWe also went after + got💰from military contractors (@RoKhanna led that one!) &amp; exposed Trump tax.\n\nThat was w/ waived status. Now we can turn it up."
Liberal,"@tylerahazard @AkilahObviously I was a “waived” on instead of a full “primary” members. Waived members can be cut &amp; do not accrue seniority standing, among other factors.\n\nWe are now full primary members. That means we are locked in and accrue standing, which allows us to better lead &amp; launch investigations."
Liberal,"RT @GeoffRBennett: INBOX: Pelosi announces additional committee assignments for 117th Congress\n\nOversight and Reform Committee:\nCongresswom…"
Liberal,"😊😊😊😊 https://t.co/HNjPM6SGua"
Liberal,"Imagine being so racist that you go out of your way to ensure that the people who prepare *your* food are unvaccinated. https://t.co/QtWoJ6XG72"
Liberal,"RT @JamaalBowmanNY: It’s my turn to get the COVID vaccination today and at first, I was nervous. We know America’s history of medical explo…"
Liberal,"RT @Marie4Congress: This virus does not see or care about nationality, borders, or religion — its devastating impact is everywhere. The Net…"
Liberal,"RT @votejgr: 📣 Last week NY passed the COVID-19 Emergency Eviction &amp; Foreclosure Prevention Act 📣\n\nYou can complete a hardship form to prot…"
Liberal,"RT @staceyabrams: GEORGIA: Watch and Share!\n\nI am counting on YOU to vote today between 7AM and 7PM. Your votes are critical to elect @osso…"
Liberal,"Wow: ConMijente has contacted EVERY Latino voter in GA! ☎️\n\nWe’ve been telling y’all: @ConMijente no juegan. This is the power of organizing, and why we’ve been proud to support them along w/ @NewGAProject, @fairfightaction &amp; many others.\n\nGEORGIA: tomorrow’s the day!\nVOTE 🗳 https://t.co/A0aRXQrFpZ"
Liberal,"Tommy was an incredible, remarkable man.\n\nThank you @RepRaskin and Sarah Raskin for this beautiful and deeply loving tribute, and for sharing it with the world. https://t.co/C7onRwBHYI"
Liberal,"RT @JohnJHarwood: Susan Collins, rationalizing her vote to clear Trump of impeachment charges last year, said he’d learned “a pretty big le…"
Liberal,"RT @abbydphillip: It's wild that this is being said out loud, but there is some truth to the fact that consistently losing the popular vote…"
Liberal,"RT @SenSchumer: Hey @SenTedCruz and his gang:\n\nYou want to investigate election fraud? Start with this:"
Liberal,"RT @AlphabetWorkers: We're Alphabet workers. We’ve been organizing for over a year, &amp; we’re finally ready to share why.\n \nThis morning, we'…"
Liberal,"RT @RossBarkan: The Senate should repeal the Faircloth Amendment, following the lead of @AOC and others. For @nytopinion, I explained why t…"
Liberal,"Mahalo to you and your little ones for teaching us some Hawaiian words, @kaikahele!\n\nFelicidades to you and your beautiful family on this momentous and historic day. https://t.co/8gvtgbBo9n"
Liberal,"Two years ago, I walked my family to the Capitol steps and bussed down community from the Bronx &amp; Queens as I was sworn in for the first time as a member of Congress.\n\nI so wish you all could have been here today, but thankfully you sent another kind of family :)\n\nLet’s do this💜 https://t.co/EEvFqCd9PS"
Liberal,"RT @staceyabrams: Georgians: I know it’s tempting, but let’s not allow ourselves to be distracted today (or tomorrow or Tuesday). Let’s use…"
Liberal,"RT @CoriBush: I’ve survived sexual assault, police abuse, domestic violence, and being unhoused and uninsured. That's not a unique pain I c…"
Liberal,"RT @washingtonpost: Exclusive | \"I just want to find 11,780 votes\": In extraordinary hour-long call, Trump pressures Georgia secretary of s…"
Liberal,"Let’s go! 💪🏽💪🏽💪🏽 https://t.co/24ZLM8Expv"
Liberal,"On the eve of the 117th Congress, I want to thank the Bronx &amp; Queens for entrusting me with the sacred responsibility of advancing a better world in House, and recognize the relentless work and dedication of the organizers who made this day happen.\n\nRemember: You are the answer. https://t.co/fx3OtMqreU"
Liberal,"RT @BernieSanders: It is a sad and tragic day for our country that 140 members of the House of Representatives, 13 senators and a defeated…"
Liberal,"Thank you for your years of admirable service and advocacy for the Bronx, @RepJoseSerrano. I will miss our chats about the Bronx and Boricua history on the House floor. Thank you for paving the way. 🇵🇷 https://t.co/NowN8YBXTa"
Liberal,"These Senators are engaged in a selfish attempt to shred our Constitution and dismantle our democracy. In doing so, they are also baselessly challenging the same ballots sending them to Congress.\n\nIt is pathetic, and yet the precedent they are setting is incredibly dangerous. https://t.co/idPr8r0gHF"
Liberal,"RT @propublica: Without listing the property publicly, Sen. Perdue sold his D.C. house for $1.8 million to a board governor of FINRA, a fin…"
Liberal,"A little flashback for ya ⚡️ this tweet is from my 1st day in Congress.\n\nWild day 1 expectations aside, let’s update w/ how things panned out:\n\n✅ House Climate Select Committee created\n✅ Co-chaired Biden Climate Task Force that upgraded 🌎 policy\n✅ PAYGO is getting demoted\n\n☺️ https://t.co/nfYj6yQRvt"
Liberal,"RT @RepJayapal: We face massive health, economic, and climate challenges. To overcome them, we need bold solutions that finally meet the sc…"
Liberal,"BUT, let us celebrate this achievement! We need the energy of celebration to keep pushing!\n\nThese rule changes are a bfd. Breaking austerity mindset + rules, esp on climate, is a major tenet of the Green New Deal.\n\nWe will learn, build, uplift &amp; advance together. 💜Happy new year"
Liberal,"On one hand, I am no stranger to abusive rhetoric and know that taking knocks comes w/ being an elected official.\n\nBut as someone who prioritizes movement-building and winning, creating something joyful that people actually want to be a part of is an impt organizing principle"
Liberal,"And to be 💯% honest, it was hard during this to be targeted+marred as some sellout-enemy of the people over a late tactical disagreement over 1 floor vote.\n\nAlso a bummer to see figures excuse comments like “f- her and f- anyone who protects her.” That’s not tone,that’s violence"
Liberal,"So these rule changes are a big deal - &amp; not only on healthcare. They are structural changes in the House that level the playing field for a full SUITE of flagship legislation, locks in that field for the next two years, &amp; establishes precedents for after\n\nThis was not easy"
Liberal,"Jane and I send our deepest condolences to the family of Officer Brian Sicknick who died from injuries sustained protecting the Capitol. Our country has paid a heavy price for the riots that took place and the rhetoric that inspired them. This must never happen again."
Liberal,"Some people ask: Why would you impeach and convict a president who has only a few days left in office? The answer: Precedent. It must be made clear that no president, now or in the future, can lead an insurrection against the U.S. government."
Liberal,"Now that Democrats have power, we have to be bold in a way we have not seen since FDR in the 1930s. \n\nThe first order of business: A new COVID relief bill with $2,000 payments for every working class adult. https://t.co/1jHtqg33nN"
Liberal,"A number of Administration officials are resigning in protest to Trump’s horrific acts of sedition yesterday. Not good enough! The Vice President and cabinet members must invoke the 25th amendment NOW and remove Trump from office before he incites more violence and chaos."
Liberal,"The man directly responsible for the chaos of today is Donald Trump, who has made it clear that he will do anything to remain in power – including insurrection and inciting violence. Trump will go down in history as the worst and most dangerous president in history."
Liberal,"Thank you to everyone who made a call, knocked a door, or made a contribution to help elect @ReverendWarnock and @ossoff. We win when we organize. We win when we build a multiracial, multigenerational coalition. We win when we make clear we’re on the side of the working class."
Liberal,"With Democrats in control of the Senate, we must keep faith with the working families of this country. Promises made must be kept. That means not only the $2,000 direct payment, but an aggressive agenda that recognizes the economic desperation facing so many Americans."
Liberal,"A $15 minimum wage, fighting climate change and expanding health care are at stake in today’s Senate runoffs. \n\nPhonebank with Georgia @WorkingFamilies today to win in Georgia. https://t.co/Q3aMjoSkfE"
Liberal,"Today is the day, Georgia. Your vote will decide which party controls the United States Senate and the direction of our country.\n\nPolls close at 7:00 p.m. Find your polling place at https://t.co/8ttsSvUQYL. https://t.co/WFZpq9Qvjt"
Liberal,"Trump’s threat against the Secretary of State of Georgia is outrageous. It is the most consequential attack on American democracy in the history of our country. https://t.co/g6Krlb5Y23"
Liberal,"I stand in solidarity with @AlphabetWorkers who are organizing to form a union at Google. What these workers are fighting for is not radical. They want fair wages and a workplace free from abuse, retaliation, intimidation and discrimination. And that is exactly what they deserve."
Liberal,"I don't often agree with Sen. Mitt Romney. But in describing the tactics of his GOP colleagues to undermine Joe Biden's victory, he is right when he says, \"I could never have imagined seeing these things in the greatest democracy in the world. Has ambition so eclipsed principle?”"
Liberal,"It is a sad and tragic day for our country that 140 members of the House of Representatives, 13 senators and a defeated president are attempting to undermine American democracy and our Constitution. \n\nThey will not succeed."
Liberal,"My administration will get right to work distributing emergency aid swiftly and equitably. Our focus will be on the small businesses on Main Street — not those that are wealthy and well-connected. https://t.co/FlD8voUpcP"
Liberal,".@GabbyGiffords — Your perseverance and immeasurable courage continue to inspire me and millions of others. I pledge to continue to work with you — and with survivors, families, and advocates across the country — to defeat the NRA and end our epidemic of gun violence. https://t.co/zN5J5YjXUM"
Liberal,"Ten years ago today, in Tucson, Arizona, six innocent lives were taken away by a senseless and brutal act of violence. Jill and I remember those we lost and everyone whose lives were irreversibly changed that day — including my friend Congresswoman @GabbyGiffords."
Liberal,"We need to build a new American economy where everyone enjoys a fair return for their work and an equal chance to get ahead. Tune in as I introduce members of the team that will get it done. https://t.co/PAOu57i9j5"
Liberal,"We need to restore the honor, the integrity, and the independence of the Department of Justice in this nation — and this is the group that will get it done. https://t.co/Yfuys8i73V"
Liberal,"I’m proud to nominate Judge Merrick Garland for Attorney General of the United States. https://t.co/xBR5PAN2wH"
Liberal,"For the past four years, President Trump has unleashed an all-out assault on the institutions of our democracy.\n\nYesterday was but the culmination of that unrelenting attack. https://t.co/Mcli7mzENu"
Liberal,"This team shares my belief that the middle class built this country and that unions built the middle class.\n\nThey will help us emerge from the most inequitable economic crisis in modern history by building an economy where every American is in on the deal. https://t.co/iorqb5Dxpj"
Liberal,"RT @Transition46: Our jobs team’s mission is clear: execute the Build Back Better agenda.\n\nThey will work to dig us out from the worst, mos…"
Liberal,"No one can tell me that if it had been a group of Black Lives Matter protestors yesterday that they wouldn’t have been treated very differently than the mob that stormed the Capitol. \n\nWe all know that’s true — and it’s unacceptable."
Liberal,"Merrick Garland will serve as the Attorney General of the United States — not as my personal lawyer."
Liberal,"What we witnessed yesterday was not dissent — it was disorder. \n\nThey weren’t protestors — they were rioters, insurrectionists, and domestic terrorists.\n\nI wish we could say we couldn’t see it coming, but that isn’t true. We could."
Liberal,"It’s time for a Department of Justice that serves the interests of the people — not a presidency. Tune in as I introduce key nominees to lead the Department. https://t.co/8eIm9NvQS8"
Liberal,"Our nominees for the Justice Department will restore the independence of the Department, so it serves the interests of the people—not a presidency. They’ll rebuild public trust in the rule of law and work to ensure a more fair and equitable justice system. https://t.co/MSCRAwsmaH"
Liberal,"RT @Transition46: This team will work to move us closer to the American ideal of equal justice under law. \n\nThey will work to restore indep…"
Liberal,"Today is a reminder, a painful one, that democracy is fragile. To preserve it requires people of good will, leaders with the courage to stand up, who are devoted not to pursuit of power and personal interest at any cost, but to the common good."
Liberal,"Through war and strife, America has endured much. And we will endure here and prevail now. https://t.co/OvNOV0ogWG"
Liberal,"Our way is plain: It is the way of democracy — of lawfulness, and of respect — respect for each other, and for our nation."
Liberal,"America is so much better than what we’re seeing today."
Liberal,"I call on President Trump to go on national television now to fulfill his oath and defend the Constitution by demanding an end to this siege."
Liberal,"Let me be very clear: the scenes of chaos at the Capitol do not represent who we are. What we are seeing is a small number of extremists dedicated to lawlessness. This is not dissent, it's disorder. It borders on sedition, and it must end. Now."
Liberal,"RT @Transition46: President-elect Biden addresses the nation: https://t.co/BXM3SZK25R"
Liberal,"I called Reverend Warnock and Jon Ossoff this morning to congratulate them on their hard-fought campaigns. Georgia voters delivered a resounding message yesterday: they want action on the crises we face and they want it right now. Together, we'll get it done. https://t.co/TPBEbgOwzH"
Liberal,"RT @Transition46: Readout of President-elect Biden’s briefing on COVID-19 response and vaccination strategy: \n\nhttps://t.co/epetoF8NyT http…"
Liberal,"Stay in line, Georgia. If you’re in line at your polling place by 7 PM, you can vote."
Liberal,"Georgia voters: If you’re voting in the county where you’re registered, you’re entitled to ask for a provisional ballot if you’re told you aren’t on the voter rolls. Don’t leave without voting.\n\nIf you have questions, call the Voter Protection Hotline: 888-730-5816"
Liberal,"Georgia — If you elect @ReverendWarnock and @Ossoff, we can break the gridlock that has gripped Washington.\n\nWe’ll be able to make the progress we need to make on jobs, health care, justice, and more.\n\nIt all comes down to today. Vote: https://t.co/RIJ1L4B5o9\n\n📷: @kevloweryphoto https://t.co/FMfNZvI6gR"
Liberal,"Georgia — If you have any questions today while voting, reach out to the Voter Protection Hotline: 1-888-730-5816"
Liberal,"Georgia — The nation is looking to you to lead us forward. \n\nThe power is in your hands: https://t.co/RIJ1L4B5o9 https://t.co/BhZ3Mcfozm"
Liberal,"Go vote, Georgia!\n\nhttps://t.co/RIJ1L4B5o9"
Liberal,"I’m asking you to give everything you’ve got for one more day — because that one day can change America.\n\nhttps://t.co/RIJ1L4B5o9 https://t.co/6RvV9Ffx04"
Liberal,"In America, politicians can’t assert, take, or seize power.\n\nIt has to be given by the American people.\n\nWe can’t ever give that up. The will of the people must always prevail."
Liberal,"The debate over $2,000 isn’t some abstract debate in Washington. It’s about real lives.\n\nHardworking Americans need help, and they need it now.\n\nGeorgia — you have the power to make it happen. Vote. https://t.co/yFBBk1YAEm"
Liberal,"With just one day to go until the Georgia Senate runoffs, I’m in Atlanta to get out the vote. Tune in. https://t.co/I4MBUj0g3o"
Liberal,"One day left, folks. I’m on my way to Georgia to help send @ReverendWarnock and @Ossoff to the Senate. See you soon, Atlanta!"
Liberal,"Georgia — If you haven’t returned your absentee ballot yet, drop it off at a drop box in your county today.\n\nIf you’re voting in-person tomorrow, make your plan today.\n\nLet’s flip the Senate: https://t.co/RIJ1L4juwB"
Liberal,"RT @Transition46: Statement by President-elect Biden on Nancy Pelosi’s reelection as Speaker of the House: https://t.co/m6u6BwFlRj"
Liberal,"The Senate swearing-in ceremony was always one of my favorite parts of the job as Vice President. Congratulations to the newly minted members of the 117th Congress. I look forward to working alongside you to get this virus under control and build back better."
Liberal,"With just two days to go until the Georgia Senate runoffs, @KamalaHarris is in Savannah firing up folks to get out and vote. Tune in. https://t.co/3F4wMyotcO"
Liberal,"Here’s my promise to you: I’ll be a president for all Americans. Whether you voted for me or not, I’ll wake up every single morning and work to make your life better."
Liberal,"Floyd Little and I were students at Syracuse University together. And over the years, I got to know the man behind the number. He was full of character, decency, and integrity. I will miss my friend. The entire Biden family sends our love to DeBorah and the Little family. https://t.co/OsmyvPBFvu"
Liberal,"Mask up, folks."
Liberal,"It’s the final weekend before the Georgia Senate runoffs, which means we have just a few days left to do everything we can to flip the Senate. If you have a few minutes, sign up to make calls and let’s get to work: https://t.co/uR93pEtK1X"
Liberal,"We need to provide more immediate relief for working families and businesses—now. https://t.co/609fyxwlBH"
Liberal,"RT @GabbyGiffords: After I was shot, I fought to regain all that I lost—from walking to speaking to being able to serve my country.\n\nNow, 1…"
Liberal,"Let’s be clear: those who run America’s small businesses aren’t just business leaders, they’re civic leaders and community leaders. They’re the ones who sponsor Little League games, scholarships, and all kinds of local causes and activities. \n\nWe must do right by them."
Liberal,"A decade ago today my dear friend @GabbyGiffords was wounded in a horrific attack that took six innocent lives. Since then she’s courageously worked to keep our communities safe from gun violence. @JoeBiden and I join Gabby in this fight: let’s end this epidemic once and for all. https://t.co/JltDR7uxH6"
Liberal,"As we work to contain the pandemic and open our economy responsibly, we must also build back better to lift up all Americans. Tune in as @JoeBiden and I announce key nominees to our economic team. https://t.co/XB8kmdunen"
Liberal,"I am proud to announce these deeply experienced public servants will be joining my team. They reflect the very best of our nation and will help to build a country that lifts up all Americans. I look forward to working alongside them each and every day. \nhttps://t.co/C4OJlcbg1i"
Liberal,"President-elect @JoeBiden and I, along with this superb Department of Justice team, will help make sure that justice is applied equally while restoring and strengthening the rule of law that always has been—and always will be—the bedrock of America’s democracy. https://t.co/tLKHySdCgs"
Liberal,"These public servants will expand workers' rights, provide access to capital for small business owners, and invest in American innovation.\n\nI look forward to working alongside them to build an economy that’s not only stronger but fairer for working people.\nhttps://t.co/u6tudjzhZw"
Liberal,"RT @Transition46: Our jobs team’s mission is clear: execute the Build Back Better agenda.\n\nThey will work to dig us out from the worst, mos…"
Liberal,"The challenge we’re facing in our country is about more than the actions of a few. It’s about how to transform a justice system that doesn’t work equally for all. https://t.co/w2ONQWUxjN"
Liberal,"For centuries, justice has been symbolized as a woman, blindfolded, a scale in her hands.\n\nHer eyes are covered because justice shouldn’t depend on the color of your skin.\n\nIt shouldn’t depend on how much money you have.\n\nJustice should be impartial. Our DOJ will ensure it is."
Liberal,"We have witnessed two systems of justice: one that let extremists storm the U.S. Capitol yesterday, and another that released tear gas on peaceful protestors last summer. It’s simply unacceptable."
Liberal,"Tune in as @JoeBiden and I introduce our nominees for the Justice Department who will restore integrity and independence to the institution and ensure justice is applied equally across our country. https://t.co/Esv2jKwUHR"
Liberal,"Fidelity to the rule of law forms the bedrock of our democracy.\n\nIn the face of both the damage that has been done to our Justice Department and our country’s long-overdue reckoning on racial injustice, these are the right leaders to meet this moment. \nhttps://t.co/19zMzNROVr"
Liberal,"RT @Transition46: This team will work to move us closer to the American ideal of equal justice under law. \n\nThey will work to restore indep…"
Liberal,"Democracy will prevail.\nhttps://t.co/whY7hq0hPX"
Liberal,"The words of a President matter. https://t.co/qkDSrit9LL"
Liberal,"I join President-elect @JoeBiden in calling for the assault on the Capitol and our nation’s public servants to end, and as he said, “allow the work of democracy to go forward.”"
Liberal,"RT @JoeBiden: Let me be very clear: the scenes of chaos at the Capitol do not represent who we are. What we are seeing is a small number of…"
Liberal,"RT @Transition46: President-elect Biden addresses the nation: https://t.co/BXM3SZK25R"
Liberal,"History made. Congratulations @ReverendWarnock and Jon @Ossoff on your hard-fought campaigns. Together we can give Americans the relief they deserve and restore America’s moral leadership around the world."
Liberal,"RT @JoeBiden: I called Reverend Warnock and Jon Ossoff this morning to congratulate them on their hard-fought campaigns. Georgia voters del…"
Liberal,"Georgians, if you’re in line before the polls close at 7pm ET—stay in line! If you run into any trouble casting your ballot, call the voter protection hotline at (888) 730-5816."
Liberal,"I know @ReverendWarnock and @Ossoff. We’ve talked about the promise of our country. How we must help Americans with $2,000 stimulus checks, ensure our children have clean air to breathe, and our small businesses can thrive. That’s who they are—and who they’ll be as U.S. Senators."
Liberal,"The late great John Lewis shed his blood on the Edmund Pettus Bridge for our right to vote. The forces against him were powerful, but he knew the capacity of what our country could be was a fight worth having. Georgia, mask up today and march on to the ballot box in his honor."
Liberal,"Georgians, today you can decide the fate of the Senate. If you run into any trouble making your voice heard at your polling place, be sure to call the voter protection hotline at (888) 730-5816."
Liberal,"RT @JoeBiden: Go vote, Georgia!\n\nhttps://t.co/RIJ1L4B5o9"
Liberal,"Georgia, polls are now open! Your vote is your voice, and your voice is your power. Now is the time to stand up, speak out, and vote for a better future. Go to https://t.co/FsQFse2eXb to find your polling location. \n\n📷: @kevloweryphoto https://t.co/zJbdJEUDsO"
Liberal,"Picking up some takeout at @FlorianaDC with @DouglasEmhoff and we had to snap a selfie in front of the 17th Street community tree. https://t.co/ZZ4KTrYybk"
Liberal,"Tomorrow Georgia will change the course of history for people all across our country. Find your polling place at https://t.co/FsQFse2eXb. https://t.co/Pzbhzc71vT"
Liberal,"We won Georgia in November, and we need everyone to vote one more time so @JoeBiden and I can do the necessary work to help our nation heal and recover. Tune in as Joe rallies voters in Georgia. https://t.co/ez17fwSaXA"
Liberal,"A distribution plan for vaccines will be the utmost priority once @JoeBiden and I are sworn in. https://t.co/xdaSWzH90M"
