political, tweet
POLIT,"Tomorrow night I guess we're going to have to educate the #p2 crowd that Jesus was NOT a liberal #tcot #ocra #sgp"
POLIT,"Jessie Jackson the mouth piece for douchebag liberals"
POLIT,"RT @JakopDalunde: ponders how anybody can be conservative in a civilization headed for destruction."
POLIT,"RT @velvethammer RT @SamiShamieh It's clear now Obama has more respect 4terrorists than Americans who oppose his socialist agenda. #tcot"
POLIT,"RT @ResistTyranny: McCain STILL doesn't understand why he lost! Endorsed a liberal in #NY23 race #gopFAIL #tcot HAD NOTHIN 2 DO W BUSH HUH?"
NOT,"WTF, Math for Liberal Arts and Pre-Cal here transfer to UT but not College Algebra... the class I'm taking. I'm retarded."
NOT,"RT @HarvardResearch Exhibit of Czech secret-police photos from the Communist era shows Big Brother as unintentional artist http://ow.ly/IgIs"
POLIT,"Conservative Party Leader Repeats LabourÃ¢â‚¬â„¢s Afghanistan Lie : The British National Party http://bit.ly/1BQtY"
POLIT,"RT #dvd493 Conservatives now outnumber liberals in all 50 States, says gallup poll... http://www.cnsnews.com/news..."
POLIT,"rt @1txsage1957 Glenn Beck Sees a Communist Under Every Rock | Video | AlterNet http://ff.im/9XUiA\\ and the slugs who are related to him..."
POLIT,"Better dead than Red! RT @Ladymoves Should a communist be adviseing our president? Because there is. *pHg*"
NOT,"I didn't realize why the NHS was trending until I read Digg today about Stephen Hawking. Schadenfreude. Conservatives. Oy. #welovethenhs"
POLIT,"RT @iRevolt: “A conservative is a man who is too cowardly to fight and too fat to run.“ -Elbert Hubbard #tcot"
NOT,"NY Times: 36 Hours in Madison, WI, liberal college town w/ “a spirited reality all its own.“ Oh Madison, how I miss you: http://bit.ly/bniB4"
POLIT,"Political Stereotypes: Conservatives - Pompous and Arrogant; Liberals - Smarmy and Arrogant."
POLIT,"@jarichmond what a joke. I mean we all know the dems are the socialists."
POLIT,"Meet the New Boss ... RT @TWI_news Civil Libertarians Dismayed by Patriot Amendments? http://bit.ly/2aoqEt"
POLIT,"Socialism tomorrow? RT @stellargirl77 What is so bad about socialism anyway?"
POLIT,"That's Czary! RT @tuansenangbesar Komunis and communism is 2 different things. If you haven't read economic history."
POLIT,"@LiberalTheory article by Albert Einstein, “Why Socialism“ written in 1949, http://wattpad.com/1026. u might want to rethink ur avatar"
NOT,"Sasha just won the Progressive House Award at this years DJ Awards!"
POLIT,"Liberals are stupid and you can't fix stupid!"
POLIT,"PAKISATAN:BEGINNING OF IDPS RETURN FROM SINDH HAS BELIED NATIONALISTS STANCE http://is.gd/1VSuk"
NOT,"Join us in 30 minutes for the Common Man Common Sense Episode 11 on #BlogTalkRadio - http://tobtr.com/s/623465 #tcot #conservative #teaparty"
POLIT,"The Bible is apparently too liberalÃ¢â‚¬Â¦. : Delaware Liberal http://bit.ly/H0k6M"
POLIT,"Senate unable to reach newer deal on paying for medical care of fat liberal slobs unwilling to exercise, Al Franken named Hot Thong Czar."
POLIT,"@auctioneerist so sorry for your loss. :( I wanted to DM you, but cannot (?) - nice to know there are other conservatives in SF."
POLIT,"RT @LPIN: LPIN Podcast: 035 Ron Cenkush is first Libertarian Indiana House candidate, for 2010. http://lpin.org/node/761 #IN"
POLIT,"TX Gov. Perry: Ã¢â‚¬Å“This is an administration hell-bent on taking America towards a socialist country.Ã¢â‚¬Â http://is.gd/4TsEI"
POLIT,"@pizano3 and again, I'm not just putting it out on the conservative blowhards, but we gotta start injecting reason into our own points 1st."
NOT,"RT @colocelt: Such a gorgeous conservative!!!!!!!!!!! Mmmmmmmwah!!!!!"
NOT,"@plove360 You're delusional, and have still provided NO EVIDENCE. I'm honestly wondering if this is a racial/nationalist issue for you."
POLIT,"RT @glenngreenwald Revealing how conservatives hate tort & anti-discrimination laws... when used by others, not themselves http://tr.im/FaL9"
NOT,"@bapartofmylife LOL - I'm in Mass. & half my family is liberal."
POLIT,".@plomlompom Im liberalen Sinne heisst liberal nicht nur liberal: http://bit.ly/3xsRCN"
POLIT,"#Obama has recruited some of the most radical liberal ideologues imaginable http://bit.ly/Rtx5i #tcot #tlot #beck #healthcare #iamthemob"
POLIT,"RT@johnmcmahon Colorado Progressive Voice: Iran,2 interviews, ACORN, missile defense, climate change, Afghanistan + more!-http://is.gd/3JBcM"
NOT,"Holy shit, I've gotten emails from just about every person imaginable since deciding to track down Captain Anna's 80s Zed feminist past..."
POLIT,"I wonder where the conservatives will store all of those Sarah Palin books they purchased to create the big bestseller lie? Suggestions?"
NOT,"@FagunB Have you heard of “Hatesong“ and “Trains“ from “Procupine Tree“? Not Psychedelic, they are Progressive. But they truly rock!"
POLIT,"Thank you!! #tcot #tlot #cleansweep #patriot RT @esser1999: notallysonschwartz.com ...conservatives opposing Rep Allyson Schwartz D"
POLIT,"RT @monikarempel: Breitbart bringing down Acorn, Hollywood liberals & embarrassing MSM http://bit.ly/2YcOmg Let truth reign! #tlot #ocra"
POLIT,"2 of my faves. RT @1txsage1957 Naomi Klein Interviews Michael Moore on the Perils of Capitalism http://is.gd/3Frtb"
POLIT,"Liberals claim to want to give a hearing to other views, but then are shocked and offended to discover that there are other views. - WFB"
POLIT,"@VetsOnTheWatch Libs must hate it when conservatives take their ad-hominems and use them as proud monikers to show who we are."
NOT,"When I've had a stupid day, I should get a free back rub. I guess that makes me a socialist!"
POLIT,"RT @RollinsWallace: Hrtlnd GOPers as cn by the Elitist Liberals of both parties: “Men of Constant Sorrow“until 2010 Ã¢â„¢Â« http://blip.fm/~ciqoj"
POLIT,"Why, because it is not socialist enough? RT @foxnewspolitics: White House Considers Drafting Its Own Health Reform Bill http://ow.ly/o9wB"
NOT,"RT @GloriousYou “We are here to change, grow, develop and unfold. We are progressive beings that have infinite capacity“ Ã¢â‚¬â€œ Beckwith"
POLIT,"The Daily Capitalist: Cash for Clunkers = Cash for Unions: A bit of reality therapy might be in order for you Je.. http://bit.ly/4EDBb"
POLIT,"Greg Combet still appealing to Liberal Senators to vote for the #cprs"
POLIT,"The PACIFIC GATE POST: Ã¢â‚¬Â¢ Government vs. Capitalism http://bit.ly/E5d7E"
POLIT,"@harterm04 what the hell do u know about communism"
POLIT,"OMG GOP WTF?! Heard the latest conservative claptrap? Take quiz to benefit lefty org & get the sticker http://bit.ly/yz8wE #p2 #noisemachine"
POLIT,"RT @Johnny_Doggs: Liberals, Shut ur mouth! Real American's marching on DC today. Do like ur leader and go hide! #tcot #teaparty #912"
POLIT,"@ohjaycee haha are all your subs on marxism and communism?"
POLIT,"#follow2010 My lovely friend, @SunnyStokes Sweet. Beautiful. Freethinking. Liberal. >smooch<"
POLIT,"correction for 2nites show. Kit Lang at PL 4 Lobby. Come chat energy bill, obama, liberalism, downfail of US. http://bit.ly/juBF4 Express"
POLIT,"Liberals only believe n free speech when they r the ones speaking. They criticize conservatives cause it reflects libs immorality."
POLIT,"@julie_posetti That's because Minchin is really a zombie. My evil plan to infiltrate the Liberal party went wrong and now they... AAGGHH!"
POLIT,"@gilcarvr Not all libertarians. Many recognize the need for national security."
POLIT,"Day-old copies of Cuba's Communist Party paper resold for next to nothing to use as toilet paper. Finally the gov't gets something right!"
POLIT,"how are you planning to spend the socialist holiday? http://bit.ly/p3ebG"
NOT,"RT @civlee RT @ValisProject : RT @happyhomeshop : RT @cupcakes5 : @GreenRoomPro @Florzinhaa_ @anarchists @civlee @expensiveguy @officialtila"
POLIT,"Sigh.Of course the liberal chimes in.. If you think something like that is nasty , ur “ homophobic“ or “ not open minded“. @prettipancakes"
POLIT,"RT http://bit.ly/vQF7J BlessedRPEACE MAKERS4TheyShalBtheChildrenofGod-NonViolenceDEMOSvs. AntiChrist Obama Anarchists"
POLIT,"Poll: 8 in 10 Back Public Option http://bit.ly/kuPp3 Interesting: apparently 61% of Republicans are Socialists"
POLIT,"Evil Conservative Radio: Cap and Trade: What a Great Way to ...: search engine marketing Ã‚Â· Website Traffic - Web.. http://bit.ly/4bZ6Wp"
NOT,"Get Quotes online from Geico, Progressive, Nationwide Auto Insurance, And Many More all one website. http://tinyurl.com/y8ngda9"
POLIT,"thinking on how much of a socialist, liberal commi I am."
POLIT,"Disunity could mean the federal wing of the Liberal Party spends years in the wilderness, Opposition frontbencher T http://t.love.com/25 ..."
POLIT,"Socialism tomorrow? RT @amsiriano Why is it that nearly every time I meet someone who is dubiously disabled, that person is a socialist?"
NOT,"Venture capitalists! Opportunity to buy the best link shortening service. RT @Cligs Shutdown Plans on Hold http://cl.gs/Esu39"
POLIT,"#Digg this: Socialists: Big Losers in German Vote - Merkel Wins http://digg.com/u1DDBd #digguser [RT]"
POLIT,"More “solutions“ from these idiots are the last thing I need. #tcot #hcr #libertarian #killthebill #tweetcongress"
POLIT,"Don't be CCCP RT @24space48 “Democrats Healthcare Bill“: “The Superhighway to SOCIALISM“"
POLIT,"Sen. Ted Kennedy: Liberal Lion of the Senate and champion of #LGBT rights: http://bit.ly/11pSjx"
POLIT,"@joygreenmcgann Communism the Idiealation of the community , Capitalism the idealalation of Capitalisng and Power"
POLIT,"RT @matttbastard: A socialist-feminist take on Dr Tiller's murder & what the #prochoice movement's next move should be http://bit.ly/1ELQC"
POLIT,"On Your Marx RT @kplo Communist consumer goods make comeback: http://su.pr/8sczfi"
POLIT,"Commies R here! RT @slowsnail30 Soon Slovenia will come back into very similar to Communist regime."
NOT,"Delaware Liberal: This About Says It http://tinyurl.com/kr28af"
POLIT,"RT @randomsubu: Hey Republicans+Conservatives: You gave the world George W Bush. So forgive me if I don't give a s*** about your opinion ..."
NOT,"a @KEVINLORIGO You really can't use the webster definition to describe western Europe, which is highly socialist."
POLIT,"Let's fight to disband all public schools! That's socialism and we can't have it in this country!"
POLIT,"The Conservative Party | News | News | Spelman condemns stealth ... http://u.mavrev.com/uj14"
POLIT,"Socialism: A Hate Story http://bit.ly/q5B1S (excellent article on the respect we all should have for capitalism)"
POLIT,"I hate the BNP with every drop of conservative blood in my body :D"
POLIT,"Important polling. http://bit.ly/svPqb This means a lot of self-identified conservatives and moderates are voting dem."
NOT,"Progressive Starts Plan To Aid Insurance Agents' Online Sales http://ow.ly/15KTWc"
POLIT,"reading as a collective act under the fundamental values and principles of revolutionary socialism http://tinyurl.com/nkp65g"
POLIT,"@_THEMUSE_ i mean it depends on the issue. its some things i'm liberal on and its some things i'm conservative on."
POLIT,"Conservative Womens Calendar: For those who like their gals batshit crazy.http://su.pr/2NSI1e"
NOT,"Occhiali, buone notizie per i presbiti: Basta bifocali o progressive. Il brevetto di un fisico Usa dopo 20 anni .. http://bit.ly/dRecI"
POLIT,"Communists!! RT @billcity I may just write my Critical Eng theory essay on a reflection of Socialism. It'd be more effective for my prof."
POLIT,"oh thats bunch of bull, leader of honduras was LEGALLY removed and no such violations took place. Why cant socialists of the world accept??"
NOT,"Funny: Late Night Video Ã¢â‚¬â€ Funny Mashup Edition! : Delaware Liberal http://bit.ly/BdDZR"
POLIT,"@pierski individuals have equal chances and it's up to them to make it. That's what people don't get. They throw around socialism without"
POLIT,"At least there one progressive issue in our election process RT @TorontoStar: Elections Canada backs online voting http://bit.ly/S5bXh"
POLIT,"RT @huffingtonpost Reese Schonfeld: Cable News Ratings--Liberals Jump Ship http://bit.ly/PkuM2 l #glenn beck"
POLIT,"Southeastern Ohio Conservative Thoughts: Voinovich right on gambling: And I do believe he would raise taxes rath.. http://bit.ly/nQ51T"
POLIT,"RT @readCHARLIE Promote progressive culture in #chs: Tell someone new about CHARLIE today www.readcharlie.com"
POLIT,"Where is the gay rights movement going, and should libertarians follow? http://bit.ly/14ES3N"
POLIT,"@RabidApe Because you didn't write the original line you sent. You cut and pasted it. I have MANY liberal friends. You couldn't be one #tcot"
NOT,"Liberal President Alfred Apps spoke to our riding association Wed.night. Story & pictures here http://tinyurl.com/l3yq77"
POLIT,"RT @tonysharon04 @resistance09 Ive been infected w/PATRIOTIC FLU and I am SICK of ur socialist government reforms. STOP NOW! #teaparty #gop"
POLIT,"Cash for Clunkers may be good for auto insurers including GEICO and Progressive: http://bit.ly/tl8Ns"
POLIT,"#g20 dirty filthy capitalist hippies getting a good shower today i hear. i wonder if the greed and greenwashing will wash off...?"
POLIT,"the terms liberal and conservative are so divisive. Just more words to hide behind: http://bit.ly/Ey8AS"
POLIT,"If conservatives had anything larger than a pea for a brain, they'd fact check the lie-filled emails they receive on HC reform. #iamthemob"
POLIT,"...the hell did I start watching lectures on polycentric legal systems? if you're interested in anarchist delights http://vimeo.com/7577646"
POLIT,"Feminism and the Economy http://bit.ly/JkBB4"
POLIT,"Blog Post: A Liberal's Hit List: Boise & Olsen to go After 'Yes on 8' Campaign http://ow.ly/15LB6z"
POLIT,"Those “freedom-loving“ conservatives also want to control what you read, watch and smoke. @setv"
POLIT,"How do win an argument with a conservative? You can't. They refuse to look at the evidence and make a rational decision."
POLIT,"#inafreeworld people would stop trying to turn the USA into a socialist country bc they would care about personal responsibility"
POLIT,"Attention TV Talking Heads. Barack Obama and Bill Clinton are not liberals. The middle of the road is not the left!"
POLIT,"New England Republican: Fat Cats: The running dogs ofÃ‚Â  rapacious, hyper-competitive capitalism might be chastene.. http://bit.ly/dQb0p"
POLIT,"Socialism is nationalization of industry - bailouts = nationalization and back door to single payer = nationalization @moecephus"
POLIT,"I can understand how liberal Democrats feel about OBAMA forsaking their values, the same happened to conservative Republicans under BUSH."
POLIT,"CIA Interrogation investigation - Liberal healthcare distraction, attempt to revive anti-Bush anti-Republican rhetoric, and just plain dumb"
POLIT,"Pt 1, Building Blocks of Socialism http://bit.ly/sE4Pj #tcot #libertarian #iamthemob #palin #sgp #grizzly #hhrs #tpp #tnmn #gop #fishy"
POLIT,"And the musical chairs approach to leadership is on display again in the Liberal Party. Who will be sitting when the music stops?"
POLIT,"ben nelson feeling pressure, responds via ad. good work progressives http://bit.ly/1sTtIs"
NOT,"NewBlue: Josh on JJ and NFL Socialism - http://tinyurl.com/lstgnz"
POLIT,"RT @WayneMarr SSRN Political Liberalism, Islamic Family Law and Family Law Pluralism: Lessons from New York on Family... http://bit.ly/e95ke"
POLIT,"I don't want socialized medicine, and I don't want to live in a socialist country, screamed the woman on the .. http://bit.ly/xTf2Q"
POLIT,"[French Government to Charge Tourists Who Need Rescuing] How long before this becomes an “I Hate Socialism“ Thread? http://blogged.com/r/1us"
POLIT,"Libertarian freedom activist forcibly hospitalized and drugged http://bit.ly/y5rwg"
POLIT,"Show your support for the Party with a flag tattoo: Chinese blogger Fuck the World has a communist flag tattoo t.. http://bit.ly/Hvwa2"
POLIT,"Woman who said “We are not feminists“ at Ãƒâ€°cole Polytechnique in 1989 says today, “Of course I was a feminist“ http://bit.ly/5gQmMC #fem2"
POLIT,"Socialism tomorrow? RT @bullshtr Stupid in the new - Van Jones, White House Green Czar (Washington Times): http://bit.ly/prlgk"
NOT,"RT @x5gtrn Progressive HouseÃ£ÂÂ®DJ MixÃ£â€šâ€™Ã£ÂÂ¤Ã£ÂÂÃ£â€šÅ Ã£ÂÂ¾Ã£Ââ€”Ã£ÂÅ¸Ã¯Â¼ÂÃ¨â€°Â¯Ã£Ââ€¹Ã£ÂÂ£Ã£ÂÅ¸Ã£â€šâ€°Ã¨ÂÂ´Ã£Ââ€žÃ£ÂÂ¦Ã£ÂÂÃ£ÂÂ Ã£Ââ€¢Ã£Ââ€žÃ£â‚¬â€šÃ£Æ’â‚¬Ã£â€šÂ¦Ã£Æ’Â³Ã£Æ’Â­Ã£Æ’Â¼Ã£Æ’â€°Ã£â€šâ€šÃ£ÂÂ§Ã£ÂÂÃ£ÂÂ¾Ã£Ââ„¢Ã£â‚¬â€šÃ¯Â¼Ë†Ã£ÂÅ¸Ã£ÂÂ¶Ã£â€šâ€œÃ¥ÂºÂ¦Ã£â‚¬â€¦Ã¥Â®Â£Ã¤Â¼ÂÃ£Ââ€”Ã£ÂÂ¾Ã£Ââ„¢Ã¢â‚¬Â¦Ã¯Â¼â€°http://tiny.cc/cKv90"
POLIT,"Huckabee Revs Up Conservative Crowd - New York Times - http://tinyurl.com/yeb99kx"
POLIT,"Glad to hear that the Socialist bank bailout STARTED by George Bush and continued by Obama seems to have worked."
POLIT,"The 8-point 'Goldman Socialist Manifesto' - FOXBusiness http://url4.eu/AqEX"
POLIT,"RT @glennbeck OLIGARH? Really? You are so predictable... don't miss the open. // He left out the 'C' for Communism."
POLIT,"Pravda http://bit.ly/2t9Z4E America Moving from Kingdom of Cash to Socialism Slowly but Surely #tcot #congress #hc09"
POLIT,"RT: @rodolfob: Data from the CIA Factbook. Comparing the “BAD“ Communists:CUBA with the “GOOD“ Capitalists: USA #Honduras"
