,Tweet,Account,Score,Leaning
66,"one anthony blair's foremost many, many mistakes. ",@ukip,-2,conservative
67,devolution given rise dangerous separatists form sturgeon scotland plaid cymru wales wish tear nation apart. #ukip recognises way save united kingdom put end #devolution. ,@ukip,-2,conservative
68,"eu, world. ",@ukip,-2,conservative
69,"us riots may &amp; sept last year. 91% riots linked #blacklivesmatter movement, causing… ",@ukip,-2,conservative
70,neil rebuilding radical libertarian ukip hierarchy turned tory lite 2012-2015 ,@ukip,-2,conservative
71,"ukip defence &amp; security spokesman, lt-gen jonathon riley, writes immediate threat posed free world aggressive chinese imperialism ",@ukip,-2,conservative
72,"well half way 100,000 sigatures. keep going. ",@duponline,-2,conservative
73,,@duponline,-2,conservative
74,"ian paisley mp highlights benefits young people learning space, parliament's debate future uk's space industry. ",@duponline,-2,conservative
75,"40,000 higher education students get £500 dfe student hardship funds, digital poverty aid… ",@duponline,-2,conservative
76,take part policy consultation: ,@duponline,-2,conservative
77,economy minister announces students receive £500 covid disruption payment ,@duponline,-2,conservative
78,.@economy_ni minister announces students receive £500 covid disruption payment ,@duponline,-2,conservative
79,end protocol sign petition ,@duponline,-2,conservative
80,,@duponline,-2,conservative
81,".@eastantrimmp ""...the promises made people northern ireland, result northern ireland protocol, citizenship uk would diminished, access gb market would disrupted, totally discredited."" ",@duponline,-2,conservative
82,,@duponline,-2,conservative
83,.@jimshannonmp speaking parliament's urgent question treatment uyghur women xinjiang detention camps. ,@duponline,-2,conservative
84,"""the northern ireland protocol ruptured united kingdom internal market order give armour-plated protection single market european union."" ",@duponline,-2,conservative
85,petition: trigger article 16. want unfettered gb-ni trade. ,@duponline,-2,conservative
86,"protocol post-brexit trade put northern ireland's links uk risk must scrapped, arlene foster says ",@duponline,-2,conservative
87,sad news passing holocaust survivor walter kammerling bem spent years millisle farm 1939. th… ,@duponline,-2,conservative
88,"following request dup group belfast city council, lord mayor alderman frank mccoubrey today opened… ",@duponline,-2,conservative
89,request opened online book condolence &amp; civic buildings also illumated blue (nhs c… ,@duponline,-2,conservative
90,minister calls action parcel deliveries northern ireland. ,@duponline,-2,conservative
91,".@eastantrimmp ""there border irish sea. disruption trade ni gb, vice versa... truth matter is, people ni experiencing full benefits uk citizens 31st december."" ",@duponline,-2,conservative
92,education minister outlines theme year’s #childrensmentalhealthweek important emotional… ,@duponline,-2,conservative
93,dups request via lord mayor opened online book condolence captain sir tom… ,@duponline,-2,conservative
94,party representatives met leadership afternoon. ,@duponline,-2,conservative
95,"useful meeting earlier including dr alan stout, alongside &amp; trevor clarke mla. rais… ",@duponline,-2,conservative
96,"owe huge debt gratitude captain sir tom moore, fundraising efforts meant western trust b… ",@duponline,-2,conservative
97,"ian paisley mp education minister ""students must economically punished result awful pandemic must give hope, give help..."" ",@duponline,-2,conservative
98,"""we're saying government must take action - strong action, immediate action deal problems arisen."" ",@duponline,-2,conservative
99,"ian paisley mp says ""the protocol betrayed us, made us feel like foreigners country,"" calls take action remove impediments trade northern ireland. ",@duponline,-2,conservative
100,"moved away previous insistence ""rigorous implementation"" ni protocol dismissal issues just… ",@duponline,-2,conservative
101,captain sir tom moore: main fermanagh omagh council parties unite pay respects - except sinn fein ,@duponline,-2,conservative
102,"crazy uk border officials banning soil great britain entering northern ireland, blaming n… ",@duponline,-2,conservative
103,"ahead meeting prime minister, arlene foster ⁦@dupleader⁩ talks ⁦@christopherhope⁩ ni protocol failed. even banning soil gb entering northern ireland. ",@duponline,-2,conservative
104,listen carole walker 10pm-1am northern ireland border protocol arlene foste… ,@duponline,-2,conservative
105,dup - free us protocol via ,@duponline,-2,conservative
106,captain sir tom moore left us. leaves behind living legacy nhs heroes inspiring example power… ,@duponline,-2,conservative
107,sad news captain sir tom moore sadly passed away grand age 100. sir tom truly inspiratio… ,@duponline,-2,conservative
108,"brave, inspirational charitable man. brought light darkness nation. sincerest condolences to… ",@duponline,-2,conservative
109,"jim shannon condemns graffiti ""i opposed ni protocol every opportunity. office 9pm last night making virtual plea parliament mps help us ditch protocol"" via ",@duponline,-2,conservative
110,".@carlalockhart ""as mechanics east-west broken protocol, inconceivable north-south mechanics continue operate consent wider unionist community."" ",@duponline,-2,conservative
111,".@grobinsondup calls ""practicable workable solution"" issues caused ni protocol. ",@duponline,-2,conservative
112,"""the democratic unionist party opposed protocol outset recognised would cause societal, economic problems northern ireland - businesses consumers... unionist supporting protocol."" ",@duponline,-2,conservative
113,minister diane dodds announced new £3m scheme help micro-business retailers develop sales online… ,@duponline,-2,conservative
114,work recently undertaken &amp; made possible. large row cargo… ,@duponline,-2,conservative
115,best wishes edwin. thoughts prayers. ,@duponline,-2,conservative
116,economy minister diane dodds announced new £3m scheme help micro-business retailers develop e-commerce sa… ,@duponline,-2,conservative
117,good news fe students. proposal £1.7million alleviate digital hardship received support executive… ,@duponline,-2,conservative
118,announced process awarding student grades year. ni ‘centre determined gr… ,@duponline,-2,conservative
119,thanks best wishes received step back weeks surgery recovery. happily f… ,@duponline,-2,conservative
120,wishing good friend every success goes surgery. praying positive outcome speedy re… ,@duponline,-2,conservative
121,best wishes constituency colleague friend trusting &amp; praying goes well ne… ,@duponline,-2,conservative
122,.@economy_ni minister launches software testing automation #assuredskills academy ,@duponline,-2,conservative
123,"edwin takes break receive medical treatment, thanks service best wishes dup famil… ",@duponline,-2,conservative
124,.@dupleader tells call earlier development mid &amp; east antrim… ,@duponline,-2,conservative
125,tonight: first minister condemns threats inspection staff larne port calls g… ,@duponline,-2,conservative
126,welcome news. i’ve number staff contact great relief them. ,@duponline,-2,conservative
127,best wishes friend colleague edwin poots prepares surgery recovery. ,@duponline,-2,conservative
128,consultation staff decided withdraw staff belfast larne ports tonight. safety remain… ,@duponline,-2,conservative
129,delighted happening! children may well vulnerable deserve protective bubble around them. thank ,@duponline,-2,conservative
130,last days working closely ensure special school staff are… ,@duponline,-2,conservative
131,good news hopefully paves way teaching staff access vaccination. ,@duponline,-2,conservative
132,staff special schools supporting children complex healthcare needs offered covid-19… ,@duponline,-2,conservative
133,1/4 privileged close debate today health committee inquiry impact pandemic care hom… ,@duponline,-2,conservative
134,"""what need see happen government act line said would do: ensure frictionless trade great britain northern ireland vice versa."" ",@duponline,-2,conservative
135,every tree plant land helps cut #carbonfootprint. small woodland grant scheme open application for… ,@duponline,-2,conservative
136,disappointed news credit colleague chair apg terminal… ,@duponline,-2,conservative
137,everyone northern ireland denied supply trade northern ireland protocol matter everyone. ,@duponline,-2,conservative
138,ni protocol disrupting trade northern ireland main market. harming buisinesses consumers in… ,@duponline,-2,conservative
139,"""this accident, eu working last week"" tells debate eu's… ",@duponline,-2,conservative
140,"""this accident, inadvertent mistake - eu working last week.. "" tells assembly… ",@duponline,-2,conservative
141,fm says eu decision use article “ wrong “ people reacted “ dismay distrust “… ,@duponline,-2,conservative
142,".@dupleader says “no accident, inadvertent mistake” eu planning last week. do… ",@duponline,-2,conservative
143,first minister arlene foster tells ‘disappointment’ psni probe breach covid-19 regulations loyalist funer… ,@duponline,-2,conservative
144,article exposed eu’s hypocritical approach dup deputy leader calls government eradicate societal difficulties caused daily disruptions emanating northern ireland protocol. via ,@duponline,-2,conservative
145,"""the mask slipped"" tells #sundaypolitics triggering article eu made big mistake friday n… ",@duponline,-2,conservative
146,"""the precedent set"" eu triggering article says calls used reduce tr… ",@duponline,-2,conservative
147,"""grave concern"" unionists ni protocol tells #sundaypolitics ",@duponline,-2,conservative
148,sorry hear poor health. wishing speedy recovery. truly inspiration… ,@duponline,-2,conservative
149,"""the genie really bottle. northern ireland protocol fit purpose."" ",@duponline,-2,conservative
150,,@duponline,-2,conservative
151,eu still prepared create hard border vaccines help people get pandemic. quite clear idea ni protocol necessary avoid hard border exposed monumental falsehood. ,@duponline,-2,conservative
152,it. eu still absolutely prepared implement hard border. exposes hypocrisy demand prot… ,@duponline,-2,conservative
153,"""the genie really bottle. northern ireland protocol fit purpose."" ",@duponline,-2,conservative
154,eu rips protocol suits impose hard border ireland. genie bottle. argument… ,@duponline,-2,conservative
155,warned eu continuously used ni bargaining chip. eu never prote… ,@duponline,-2,conservative
156,breaking: eu introduced controls prevent export covid-19 vaccines bloc northern ireland. north… ,@duponline,-2,conservative
157,i’ve spoken prime minister evening. government must take robust action… ,@duponline,-2,conservative
158,great news! hopefully continue roll vaccines 65s progresses ,@duponline,-2,conservative
159,fantastic progress made northern ireland’s vaccination programme! ,@duponline,-2,conservative
160,"northern ireland protocol interfering movement armed forces within uk. unworkable, unfair an… ",@duponline,-2,conservative
161,.@economy_ni minister announces ppe funding non-statutory training providers ,@duponline,-2,conservative
181,"""to know tragedy happened grenfell know similar materials building really, really scary."" three half years grenfell unacceptable people still living unsafe unsellable homes. ",@uklabour,1,liberal
346,"good enough issue press release intentions, make happen. figures show progress increasing number black officers met &amp; continued failure recruit enough asian officers. ",@libdems,1,liberal
234,"we're continuing increase roll covid vaccine scotland, scottish government hit another record number people vaccinated single day. ",@thesnp,1,liberal
193,labour forcing vote parliament tonight end cladding scandal: make homes safe immediate f… ,@uklabour,1,liberal
218,"move biden admin end support offensive ops yemen, foreign affairs spox ",@thesnp,1,liberal
199,"leaseholders abandoned, locked flammable homes facing ruinous costs. ministers must set national task force get grip deepening cladding crisis. ",@uklabour,1,liberal
186,residents like sarah made foot bill replace dangerous cladding. something incompetent government promised wouldn’t happen. it’s time provide upfront costs fix make responsible pay. ,@uklabour,1,liberal
187,britain worst recession major economy. hammering household finances way recover. #cancel… ,@uklabour,1,liberal
303,"ns: ""again, that's positive news - although working frontline health service continue very, severe pressure."" ",@thesnp,1,liberal
275,"ns: ""and want today take opportunity thank everyone working really hard across country achieve this."" ",@thesnp,1,liberal
164,mental health toll hidden cost pandemic. #timetotalkday ,@uklabour,1,liberal
289,"ns: ""these quite extraordinary uptake numbers, hugely important given toll virus taken older people care homes."" ",@thesnp,1,liberal
353,thoughts sir tom moore's loved ones. must learn captain tom's determination pull dark time &amp; let perseverance continue inspire us rebuild country. thank captain tom. ,@libdems,1,liberal
332,"#worldcancerday two really important messages share: 1. worrying symptoms, please hes… ",@libdems,1,liberal
336,"people looking loved ones covid remarkable job, difficult circumstances. deserve mu… ",@libdems,1,liberal
300,"new positive tests scotland - 4.9% test positivity rate, nicola sturgeon describes ""small ray sunshi… ",@thesnp,1,liberal
339,"today took govt task failing creative industries, particularly touring musicians, #eu… ",@libdems,1,liberal
166,irresponsible. can’t protect economy pandemic unless protect public health. chancellor's fa… ,@uklabour,1,liberal
352,"deeply saddened learn captain tom moore's passing. exceptional person, greatly contributed t… ",@libdems,1,liberal
344,"""action must taken now."" liberal democrat councillor calls government take urgent action cladding crisis. ",@libdems,1,liberal
321,catch - calls government clarify plans vaccinate unpaid carers ,@libdems,1,liberal
245,"ns: ""one things pointing often, people feeling struggling things, often small gesture - phoning somebody sending card - make big difference."" ",@thesnp,1,liberal
177,"yet again, government ignored warnings. borders still open. why? ",@uklabour,1,liberal
241,"ns: ""and finally, let's keep focusing light end tunnel. we're end tunnel yet. still tough times ahead. there's doubt light visible point last weeks."" ",@thesnp,1,liberal
194,today #claddingscandal - we’re forcing parliamentary vote make sure govt protects millions unsa… ,@uklabour,1,liberal
247,"ns: ""and know one shared across country demand adults bit patience weeks come. please, adults, remember tough time too."" ",@thesnp,1,liberal
213,deeply destabilising undermines efforts make protocol work. unilateral action nothing aid st… ,@uklabour,1,liberal
366,"myanmar’s military must step back brink, release political leaders end state emergency. democracy and… ",@libdems,1,liberal
165,"make #timetotalk loved one today, together we’ll break stigma mental health. hear shadow minister mental health ",@uklabour,1,liberal
280,"ns: ""if look week far, we've vaccinated 55% people period last week. gives sense acceleration seeing pace programme overall."" ",@thesnp,1,liberal
366,"myanmar’s military must step back brink, release political leaders end state emergency. democracy and… ",@libdems,1,liberal
224,"january 2021: industry leader tells mps uk government ""in denial scale problem"". adds uk ""created history country ever impose economic sanctions itself"". ",@thesnp,1,liberal
233,"tories, politicising vaccination programme scotland, seem unable unwilling confirm ma… ",@thesnp,1,liberal
255,"ns: ""they're able adapted use school - start return young people school - learning home independent learning young people."" ",@thesnp,1,liberal
260,"ns: ""now, second final point want highlight relates mental health. week children's mental health week. takes place early february every year, year it's, course, significant ever."" ",@thesnp,1,liberal
201,people like jenni forced spend lockdown homes covered flammable cladding. they’re unsafe unsellable home owners’ bills mounting. it’s time government made homes safe made responsible pay repairs. ,@uklabour,1,liberal
349,captain sir tom moore's resilience determination inspired millions across britain world. symbol hope many terribly dark time - let us remember example rebuild country pandemic. ,@libdems,1,liberal
266,"ns: ""this top-up worth £25,000 larger hospitality businesses, £9,000 larger leisure retail premises."" ",@thesnp,1,liberal
215,"reopening schools soon safe must top priority. government must come proper plan. dither, delay. ",@uklabour,1,liberal
195,"four fire grenfell tower killed 72, disgrace 200,000 high-rise homes remain wrapped flammable… ",@uklabour,1,liberal
228,"2018: tories promise ""a sea opportunity"". 2020: seafood scotland warns ""in short time, could see destruction centuries-old market contributes significantly scottish economy"". ",@thesnp,1,liberal
241,"ns: ""and finally, let's keep focusing light end tunnel. we're end tunnel yet. still tough times ahead. there's doubt light visible point last weeks."" ",@thesnp,1,liberal
338,proud #clapforcaptaintom evening. shining light hope dark time country. ,@libdems,1,liberal
261,"ns: ""and even qualify strategic framework fund, website help find details programmes might eligible for."" ",@thesnp,1,liberal
341,"millions unpaid carers faced serious financial hardship pandemic, government’s plan extra 5p day frankly insult. #standupforcarers ",@libdems,1,liberal
295,"ns: ""however, positive progress, really important stress that, maintain progress suppressing virus, essential us continue follow stay home except essential purposes rule."" ",@thesnp,1,liberal
332,"#worldcancerday two really important messages share: 1. worrying symptoms, please hes… ",@libdems,1,liberal
181,"""to know tragedy happened grenfell know similar materials building really, really scary."" three half years grenfell unacceptable people still living unsafe unsellable homes. ",@uklabour,1,liberal
343,"power centralised, public services local authorities underfunded, great piece work ",@libdems,1,liberal
185,"securing economy, protecting nhs rebuilding country. labour’s priorities. ",@uklabour,1,liberal
313,/2 ,@thesnp,1,liberal
214,"let’s make teachers support staff priority next round vaccinations, reopen schools sooner rather later. (£) ",@uklabour,1,liberal
243,"ns: ""so point today is, tough, we're months pandemic, we've still got tough times ahead us. everybody struggling. affecting us different ways affecting us."" ",@thesnp,1,liberal
179,"incredibly worrying. ministers knowingly left borders open direct contradiction expert advice, potentially… ",@uklabour,1,liberal
185,"securing economy, protecting nhs rebuilding country. labour’s priorities. ",@uklabour,1,liberal
258,"ns: ""they've schools closed, education disrupted, they've unable see, play with, interact friends normal."" ",@thesnp,1,liberal
297,"ns: ""..and today want send condolences thoughts everybody grieving, particularly recently bereaved, everybody lost loved one course pandemic."" ",@thesnp,1,liberal
190,i've meeting families affected cladding scandal. one person told haven’t full night’s sleep si… ,@uklabour,1,liberal
298,"ns: ""we therefore remember even although might starting see positive signs statistics, many families across country still losing loved ones..."" ",@thesnp,1,liberal
262,"ns: ""you find details eligibility apply website."" ",@thesnp,1,liberal
191,country lockdown borders open. dither delay unacceptable. must act now. (£) ,@uklabour,1,liberal
235,"industry leader, james withers, sets brexit impact scottish food &amp; drink businesses: ""catastrophic decisio… ",@thesnp,1,liberal
178,growing movement purpose-driven businesses help rebuild country tackle three crises face: e… ,@uklabour,1,liberal
358,lib dem foreign affairs spokesperson responds events unfolding ,@libdems,1,liberal
222,"scotland, 98% care home residents (the highest priority group) vaccinated. england, still don’t act… ",@thesnp,1,liberal
169,schools shut borders open. #pmqs ,@uklabour,1,liberal
226,january 2021: seafood producers warn they're go business due brexit chaos. europe's biggest fish market peterhead stands empty. tory minister brushes fishing concerns total contempt. ,@thesnp,1,liberal
315,"vastly changed way work, many workers working remotely. head towards recovery, it’s vital learn lessons past allow tories use brexit way scrap hard earned workers’ rights. ",@thesnp,1,liberal
351,"rip captain tom. amazing, selfless individual who, time darkness despair, brought great hope joy m… ",@libdems,1,liberal
196,we’re calling tories end cladding scandal: make homes safe provide upfront costs start fixing cladding make responsible pay ,@uklabour,1,liberal
212,people forced spend lockdown homes covered flammable cladding. they’re unsafe unsellable homeowners’ bills mounting. it’s time government made homes safe made responsible pay repairs. ,@uklabour,1,liberal
270,"ns: ""they necessary, think seeing data, working. said earlier week keep place least end month necessary."" ",@thesnp,1,liberal
177,"yet again, government ignored warnings. borders still open. why? ",@uklabour,1,liberal
341,"millions unpaid carers faced serious financial hardship pandemic, government’s plan extra 5p day frankly insult. #standupforcarers ",@libdems,1,liberal
274,"ns: ""but also want thank you, public, groups already prioritised vaccine, coming forward numbers far."" ",@thesnp,1,liberal
237,"ns: ""stay home. protect nhs. save lives. that's mantra serving us well that's mantra, stick it, get us next weeks. thank much indeed listening."" ",@thesnp,1,liberal
163,self-employed people backbone british economy. chancellor urgently needs plug gaps support schemes. ,@uklabour,1,liberal
215,"reopening schools soon safe must top priority. government must come proper plan. dither, delay. ",@uklabour,1,liberal
203,"government left millions people unsafe, unsellable homes dragging feet cladding. we’re calling government make homes safe protect people. ",@uklabour,1,liberal
190,i've meeting families affected cladding scandal. one person told haven’t full night’s sleep si… ,@uklabour,1,liberal
215,"reopening schools soon safe must top priority. government must come proper plan. dither, delay. ",@uklabour,1,liberal
163,self-employed people backbone british economy. chancellor urgently needs plug gaps support schemes. ,@uklabour,1,liberal
229,"2018: douglas ross says would rather drink ""pint cold sick"" vote deal gave eu vessels access years. 2020: boris johnson's brexit deal gives years access likely much more. douglas ross votes deal. ",@thesnp,1,liberal
176,"yesterday, labour put forward plan make homes safe protect people. instead working us, government chose leave millions people unsafe, unsellable homes. ",@uklabour,1,liberal
188,"""these costs affordable."" co-founder uk cladding action group william martin says pay thousands p… ",@uklabour,1,liberal
208,"monday we’re forcing vote make sure government protects millions people still living unsafe, unsellable homes. and, we’re telling make responsible, leaseholders, pay repairs. ",@uklabour,1,liberal
347,let's face it: carers overlooked power long. time change - i'm determ… ,@libdems,1,liberal
264,"ns: ""now, let clear. business already applied strategic framework fund, need reapply. currently receiving monthly payments, get top-up grants automatically."" ",@thesnp,1,liberal
247,"ns: ""and know one shared across country demand adults bit patience weeks come. please, adults, remember tough time too."" ",@thesnp,1,liberal
206,growth -3.4% -5.1% -5.4% -5.5% -9.0% -9.2% -10.0% worst recession wor… ,@uklabour,1,liberal
329,"""people looking loved ones covid remarkable job, difficult circumstances. deserve much support."" ",@libdems,1,liberal
321,catch - calls government clarify plans vaccinate unpaid carers ,@libdems,1,liberal
325,people fallen cracks government’s worker support schemes. chancellor needs stop denying… ,@libdems,1,liberal
246,"ns: ""there help support see national mental health campaign today designated day time talk day."" ",@thesnp,1,liberal
193,labour forcing vote parliament tonight end cladding scandal: make homes safe immediate f… ,@uklabour,1,liberal
303,"ns: ""again, that's positive news - although working frontline health service continue very, severe pressure."" ",@thesnp,1,liberal
208,"monday we’re forcing vote make sure government protects millions people still living unsafe, unsellable homes. and, we’re telling make responsible, leaseholders, pay repairs. ",@uklabour,1,liberal
166,irresponsible. can’t protect economy pandemic unless protect public health. chancellor's fa… ,@uklabour,1,liberal
262,"ns: ""you find details eligibility apply website."" ",@thesnp,1,liberal
276,"ns: ""it focused protecting vulnerable first, that's important, working quickly supplies allow everyone else."" ",@thesnp,1,liberal
242,"ns: ""so feel need help, please reach remember - kind other. let's try, done throughout last months, continue support much can."" ",@thesnp,1,liberal
324,rishi sunak complete denial million people who've repeatedly #excluded support. proud put my… ,@libdems,1,liberal
262,"ns: ""you find details eligibility apply website."" ",@thesnp,1,liberal
186,residents like sarah made foot bill replace dangerous cladding. something incompetent government promised wouldn’t happen. it’s time provide upfront costs fix make responsible pay. ,@uklabour,1,liberal
178,growing movement purpose-driven businesses help rebuild country tackle three crises face: e… ,@uklabour,1,liberal
303,"ns: ""again, that's positive news - although working frontline health service continue very, severe pressure."" ",@thesnp,1,liberal
361,"peace breaks eu/uk vaccine spat, need start planning distribution #vaccine developing world red… ",@libdems,1,liberal
359,"concerns growing low uptake covid-19 vaccine among black, asian ethnic minority communities.… ",@libdems,1,liberal
344,"""action must taken now."" liberal democrat councillor calls government take urgent action cladding crisis. ",@libdems,1,liberal
207,owe lost lives loved ones learn lessons pandemic. that's labour is… ,@uklabour,1,liberal
365,johnson’s terrible trade deal really hurting britain’s economy make recovery covid much difficult.… ,@libdems,1,liberal
164,mental health toll hidden cost pandemic. #timetotalkday ,@uklabour,1,liberal
244,"ns: ""so position so, maybe think whether reach somebody today later week. feeling down, remember website lots information, call nhs24 well."" ",@thesnp,1,liberal
369,boris johnson promised inquiry government's coronavirus response last year. he's ducking questions inquiry. enough delay. must learn lessons response disease save lives future. ,@libdems,1,liberal
286,"ns: ""again, importance protecting high number older people, vulnerable virus, can't overstated."" ",@thesnp,1,liberal
253,"ns: ""and clear head site also help find lots possible sources support."" ",@thesnp,1,liberal
290,"ns: ""let clear, figures people offered vaccination. people actually vaccinated."" ",@thesnp,1,liberal
300,"new positive tests scotland - 4.9% test positivity rate, nicola sturgeon describes ""small ray sunshi… ",@thesnp,1,liberal
333,"#worldcancerday thinking people, across community, fought cancer. covid-19 ch… ",@libdems,1,liberal
306,"ns: ""and undoubtedly small ray sunshine."" ",@thesnp,1,liberal
357,delighted invited opening cumbria's first mass vaccination site westmorland shopping centre kendal… ,@libdems,1,liberal
204,vaccine rollout shows working communities nhs - instead outsourcing privatising - ca… ,@uklabour,1,liberal
279,"ns: ""the overall number i've reported also includes 38% 75-to-79 year olds living community. they've also received first dose, see number rise rapidly days come."" ",@thesnp,1,liberal
312,/3 ,@thesnp,1,liberal
325,people fallen cracks government’s worker support schemes. chancellor needs stop denying… ,@libdems,1,liberal
351,"rip captain tom. amazing, selfless individual who, time darkness despair, brought great hope joy m… ",@libdems,1,liberal
